"","","Mortality rate among children ages 10 to 14 years (per 1000 children aged 10)","Number of deaths among children ages 10 to 14 years","Number of deaths among children ages 10 to 14 years","Number of deaths among children ages 10 to 14 years"
"WHO region","Year"," Both sexes"," Both sexes"," Male"," Female"
"Global"," 2021","","352 758 [321 350-431 910]","199 440 [181 636-243 423]","153 318 [138 665-189 574]"
"Global"," 2020","2.84 [2.6-3.51]","355 735 [324 084-428 858]","201 009 [183 091-241 787]","154 726 [139 934-188 398]"
"Global"," 2019","2.89 [2.64-3.49]","360 087 [327 924-427 589]","203 205 [185 177-240 479]","156 882 [141 996-187 800]"
"Global"," 2018","2.94 [2.69-3.48]","363 577 [332 194-425 600]","204 979 [187 430-239 455]","158 599 [144 105-187 002]"
"Global"," 2017","3.0 [2.74-3.48]","367 121 [336 385-423 675]","206 772 [189 689-238 149]","160 350 [146 052-186 518]"
"Global"," 2016","3.06 [2.8-3.5]","372 468 [342 863-424 676]","209 470 [193 006-238 072]","162 998 [148 824-187 163]"
"Global"," 2015","3.13 [2.88-3.52]","378 411 [349 525-426 086]","212 330 [196 179-238 322]","166 081 [152 218-188 169]"
"Global"," 2014","3.18 [2.94-3.54]","382 879 [354 404-425 064]","214 474 [198 689-237 595]","168 405 [154 812-188 386]"
"Global"," 2013","3.24 [3.01-3.58]","388 505 [360 430-426 887]","216 964 [201 348-238 214]","171 541 [158 091-190 038]"
"Global"," 2012","3.3 [3.06-3.6]","393 240 [365 591-429 031]","219 048 [203 745-238 712]","174 192 [160 813-191 094]"
"Global"," 2011","3.37 [3.14-3.65]","399 569 [372 575-433 594]","221 823 [206 881-240 420]","177 746 [164 703-193 868]"
"Global"," 2010","3.61 [3.37-3.92]","414 292 [387 170-447 953]","228 074 [213 299-246 332]","186 218 [173 005-202 298]"
"Global"," 2009","3.51 [3.29-3.77]","413 969 [387 517-445 416]","228 144 [213 464-245 587]","185 825 [173 051-201 109]"
"Global"," 2008","3.7 [3.45-4.02]","436 789 [407 676-474 184]","238 892 [222 674-259 052]","197 897 [183 475-215 913]"
"Global"," 2007","3.64 [3.41-3.9]","429 686 [403 006-460 636]","235 600 [220 894-252 446]","194 086 [181 135-209 267]"
"Global"," 2006","3.7 [3.47-3.96]","437 555 [410 506-468 530]","239 487 [224 538-256 478]","198 068 [184 989-213 464]"
"Global"," 2005","3.81 [3.58-4.08]","453 967 [425 581-486 503]","247 537 [232 107-265 328]","206 429 [192 639-222 535]"
"Global"," 2004","3.91 [3.67-4.2]","468 474 [439 417-503 218]","255 289 [239 295-274 279]","213 184 [198 729-230 063]"
"Global"," 2003","3.85 [3.62-4.14]","465 581 [436 673-500 933]","254 443 [238 701-273 967]","211 137 [197 056-228 184]"
"Global"," 2002","3.88 [3.64-4.18]","471 283 [441 883-508 513]","257 874 [241 672-278 608]","213 408 [199 021-231 506]"
"Global"," 2001","3.94 [3.7-4.26]","480 481 [449 721-519 754]","262 596 [245 588-284 240]","217 884 [202 952-236 728]"
"Global"," 2000","4.03 [3.77-4.37]","488 411 [456 808-530 452]","266 570 [248 906-289 528]","221 840 [206 891-241 712]"
"Global"," 1999","4.15 [3.89-4.52]","496 497 [464 706-540 799]","269 985 [252 044-294 405]","226 512 [211 248-247 701]"
"Global"," 1998","4.28 [4.0-4.67]","504 008 [470 703-550 857]","273 290 [254 605-299 097]","230 718 [215 214-252 819]"
"Global"," 1997","4.39 [4.1-4.79]","506 726 [472 602-555 977]","274 349 [254 900-301 635]","232 377 [216 384-255 559]"
"Global"," 1996","4.52 [4.22-4.94]","509 764 [474 431-560 525]","275 518 [255 628-303 634]","234 246 [217 807-258 466]"
"Global"," 1995","4.64 [4.32-5.08]","511 875 [474 738-563 674]","276 354 [255 637-304 919]","235 521 [218 156-260 343]"
"Global"," 1994","4.94 [4.6-5.41]","543 891 [503 249-600 886]","292 156 [269 688-323 200]","251 735 [232 703-279 038]"
"Global"," 1993","4.86 [4.51-5.33]","517 014 [477 095-571 745]","278 756 [256 044-309 083]","238 258 [219 867-264 163]"
"Global"," 1992","4.91 [4.53-5.4]","511 038 [469 231-567 408]","275 223 [251 756-306 597]","235 815 [216 341-262 297]"
"Global"," 1991","5.11 [4.7-5.65]","522 809 [478 756-583 135]","280 629 [255 937-313 986]","242 179 [221 714-270 396]"
"Global"," 1990","5.09 [4.67-5.68]","512 519 [467 993-575 729]","275 403 [250 078-310 490]","237 115 [216 393-266 870]"
"Africa"," 2021","","173 068 [143 300-235 723]","91 617 [75 470-125 159]","81 451 [67 262-110 724]"
"Africa"," 2020","6.29 [5.34-8.71]","171 750 [142 200-229 611]","90 771 [74 746-121 614]","80 979 [66 895-108 378]"
"Africa"," 2019","6.44 [5.48-8.69]","170 652 [141 085-223 458]","89 997 [74 055-118 238]","80 655 [66 684-105 629]"
"Africa"," 2018","6.57 [5.58-8.68]","168 691 [139 576-216 951]","88 787 [73 229-114 523]","79 904 [66 101-102 766]"
"Africa"," 2017","6.72 [5.72-8.7]","166 939 [138 655-210 497]","87 678 [72 606-111 109]","79 261 [65 664-100 316]"
"Africa"," 2016","6.87 [5.86-8.7]","165 201 [137 918-205 008]","86 568 [72 187-107 758]","78 633 [65 681-97 758]"
"Africa"," 2015","7.03 [6.03-8.72]","163 695 [137 536-199 703]","85 513 [71 683-104 758]","78 182 [65 658-95 368]"
"Africa"," 2014","7.18 [6.18-8.78]","162 154 [136 834-194 733]","84 441 [71 042-101 814]","77 713 [65 521-93 329]"
"Africa"," 2013","7.32 [6.31-8.86]","160 563 [136 388-190 157]","83 390 [70 679-99 061]","77 173 [65 538-91 469]"
"Africa"," 2012","7.48 [6.48-8.98]","159 396 [136 298-186 750]","82 592 [70 373-96 916]","76 804 [65 507-90 001]"
"Africa"," 2011","7.67 [6.68-9.09]","158 511 [136 427-184 090]","81 920 [70 173-95 394]","76 591 [65 860-89 114]"
"Africa"," 2010","7.85 [6.86-9.25]","158 168 [136 990-182 506]","81 548 [70 316-94 310]","76 620 [66 253-88 686]"
