"","","Mortality rate among children ages 5 to 9 years (per 1000 children aged 5)","Mortality rate among children ages 5 to 9 years (per 1000 children aged 5)","Mortality rate among children ages 5 to 9 years (per 1000 children aged 5)","Number of deaths among children ages 5 to 9 years","Number of deaths among children ages 5 to 9 years","Number of deaths among children ages 5 to 9 years"
"WHO region","Year"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"
"Global"," 2021","3.49 [3.3-3.66]","3.69 [3.35-3.84]","3.27 [2.97-3.42]","476 144 [451 072-499 942]","259 558 [235 850-270 159]","216 586 [196 122-226 143]"
"Global"," 2020","3.58 [3.4-3.75]","3.78 [3.47-3.93]","3.36 [3.07-3.51]","487 320 [463 421-510 401]","265 756 [243 454-276 210]","221 564 [202 226-231 043]"
"Global"," 2019","3.69 [3.53-3.86]","3.9 [3.61-4.05]","3.47 [3.2-3.62]","500 472 [477 842-523 037]","272 903 [252 626-283 455]","227 569 [209 677-237 243]"
"Global"," 2018","3.8 [3.65-3.97]","4.02 [3.75-4.17]","3.57 [3.32-3.72]","512 474 [491 165-534 414]","279 543 [260 741-290 040]","232 931 [216 293-242 574]"
"Global"," 2017","3.92 [3.77-4.08]","4.14 [3.89-4.3]","3.69 [3.45-3.84]","524 138 [504 011-545 425]","285 929 [268 565-296 500]","238 209 [223 000-247 862]"
"Global"," 2016","4.08 [3.93-4.23]","4.3 [4.07-4.45]","3.84 [3.62-3.99]","539 012 [519 989-559 792]","293 634 [278 035-304 053]","245 378 [231 503-254 821]"
"Global"," 2015","4.23 [4.09-4.39]","4.45 [4.24-4.61]","3.99 [3.79-4.14]","553 270 [535 661-573 780]","300 864 [286 749-311 356]","252 406 [239 877-261 905]"
"Global"," 2014","4.38 [4.25-4.54]","4.61 [4.42-4.76]","4.14 [3.96-4.3]","566 802 [550 257-586 797]","307 814 [295 155-318 353]","258 988 [247 480-268 633]"
"Global"," 2013","4.56 [4.43-4.71]","4.78 [4.61-4.94]","4.32 [4.14-4.47]","582 411 [566 759-602 244]","315 714 [304 182-326 369]","266 697 [255 935-276 571]"
"Global"," 2012","4.72 [4.6-4.87]","4.94 [4.78-5.1]","4.47 [4.31-4.64]","596 647 [581 531-616 397]","322 990 [312 086-333 591]","273 657 [263 537-283 631]"
"Global"," 2011","4.9 [4.78-5.06]","5.13 [4.96-5.29]","4.66 [4.5-4.83]","614 833 [600 007-634 313]","332 319 [321 640-343 083]","282 514 [272 614-292 667]"
"Global"," 2010","5.16 [5.04-5.31]","5.37 [5.21-5.54]","4.94 [4.77-5.11]","643 430 [628 647-662 741]","345 985 [335 426-357 026]","297 445 [287 493-307 728]"
"Global"," 2009","5.29 [5.18-5.45]","5.51 [5.35-5.68]","5.06 [4.91-5.24]","656 050 [641 583-674 861]","352 783 [342 560-363 708]","303 267 [293 803-313 561]"
"Global"," 2008","5.7 [5.58-5.87]","5.9 [5.71-6.09]","5.49 [5.3-5.68]","702 259 [686 832-722 761]","375 595 [363 314-387 306]","326 664 [315 133-337 662]"
"Global"," 2007","5.7 [5.58-5.85]","5.9 [5.73-6.07]","5.48 [5.32-5.66]","697 641 [683 280-716 065]","373 166 [362 910-383 989]","324 475 [314 720-334 652]"
"Global"," 2006","5.9 [5.78-6.05]","6.08 [5.92-6.26]","5.7 [5.53-5.87]","718 655 [704 107-736 890]","383 262 [372 868-394 042]","335 393 [325 531-345 775]"
"Global"," 2005","6.17 [6.05-6.32]","6.34 [6.17-6.51]","5.99 [5.82-6.17]","749 130 [734 457-767 663]","397 764 [387 184-408 685]","351 366 [341 274-361 849]"
"Global"," 2004","6.46 [6.34-6.62]","6.62 [6.44-6.8]","6.29 [6.11-6.48]","783 305 [767 903-802 738]","414 681 [403 523-425 979]","368 624 [358 026-379 578]"
"Global"," 2003","6.49 [6.36-6.64]","6.65 [6.47-6.83]","6.31 [6.13-6.49]","786 672 [771 686-805 746]","416 579 [405 277-427 874]","370 093 [359 446-380 874]"
"Global"," 2002","6.66 [6.53-6.82]","6.82 [6.64-7]","6.48 [6.29-6.67]","808 869 [793 546-828 404]","427 761 [416 091-439 342]","381 108 [369 946-391 935]"
"Global"," 2001","6.85 [6.72-7.02]","7.01 [6.82-7.2]","6.68 [6.48-6.87]","835 906 [820 098-855 976]","441 310 [428 854-452 993]","394 596 [382 824-405 508]"
"Global"," 2000","7.04 [6.91-7.21]","7.19 [6.99-7.39]","6.87 [6.67-7.06]","865 882 [849 538-886 882]","456 317 [443 180-468 558]","409 565 [397 234-420 668]"
"Global"," 1999","7.25 [7.11-7.43]","7.41 [7.19-7.6]","7.09 [6.87-7.28]","900 953 [883 742-922 847]","474 210 [460 071-486 649]","426 743 [413 705-438 270]"
"Global"," 1998","7.51 [7.36-7.69]","7.66 [7.43-7.86]","7.34 [7.12-7.53]","939 810 [921 702-962 709]","494 018 [478 999-506 930]","445 792 [431 959-457 437]"
"Global"," 1997","7.7 [7.55-7.89]","7.86 [7.61-8.07]","7.53 [7.29-7.73]","969 550 [950 248-993 769]","509 271 [492 997-522 661]","460 279 [445 392-472 535]"
"Global"," 1996","7.93 [7.76-8.13]","8.09 [7.82-8.31]","7.75 [7.49-7.96]","1 000 264 [979 257-1 026 110]","525 274 [507 378-539 596]","474 990 [458 756-487 622]"
