"","","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Under-five mortality rate (per 1000 live births) (SDG 3.2.1)","Number of deaths among children under-five","Number of deaths among children under-five","Number of deaths among children under-five"
"WHO region","Year"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"
"Global"," 2021","38.09 [36.13-42.24]","40.28 [38.24-44.7]","35.74 [33.89-39.7]","5 033 672 [4 777 749-5 566 153]","2 737 202 [2 599 159-3 024 754]","2 296 470 [2 177 106-2 541 468]"
"Global"," 2020","38.73 [36.93-42.37]","40.9 [39.03-44.74]","36.43 [34.68-39.85]","5 185 562 [4 948 750-5 657 241]","2 816 372 [2 688 084-3 072 548]","2 369 190 [2 255 819-2 584 491]"
"Global"," 2019","39.29 [37.66-42.46]","41.39 [39.69-44.74]","37.04 [35.45-40.03]","5 354 698 [5 134 685-5 774 803]","2 904 766 [2 786 395-3 132 499]","2 449 932 [2 345 236-2 641 728]"
"Global"," 2018","40 [38.5-42.74]","42.05 [40.49-44.95]","37.81 [36.35-40.43]","5 525 259 [5 321 408-5 896 751]","2 992 809 [2 883 562-3 194 086]","2 532 450 [2 435 395-2 704 053]"
"Global"," 2017","40.62 [39.23-43.03]","42.61 [41.16-45.13]","38.49 [37.13-40.79]","5 702 746 [5 511 316-6 031 617]","3 085 850 [2 982 313-3 262 401]","2 616 896 [2 525 391-2 768 252]"
"Global"," 2016","41.89 [40.58-44]","43.86 [42.51-46.08]","39.77 [38.48-41.83]","5 889 679 [5 708 323-6 177 608]","3 182 877 [3 084 499-3 338 895]","2 706 802 [2 619 939-2 842 749]"
"Global"," 2015","43.2 [41.98-45.09]","45.16 [43.88-47.15]","41.09 [39.9-42.91]","6 070 327 [5 901 239-6 329 296]","3 275 770 [3 183 931-3 415 393]","2 794 557 [2 713 259-2 914 508]"
"Global"," 2014","44.44 [43.31-46.13]","46.36 [45.17-48.14]","42.37 [41.26-44]","6 271 340 [6 113 959-6 502 850]","3 380 241 [3 294 112-3 505 320]","2 891 099 [2 815 728-2 998 308]"
"Global"," 2013","46.02 [44.94-47.51]","47.91 [46.78-49.49]","43.96 [42.9-45.44]","6 481 594 [6 331 435-6 686 095]","3 488 328 [3 405 610-3 598 811]","2 993 266 [2 921 083-3 090 028]"
"Global"," 2012","47.59 [46.56-48.94]","49.43 [48.35-50.87]","45.57 [44.55-46.91]","6 681 748 [6 539 555-6 867 412]","3 591 075 [3 512 329-3 690 985]","3 090 673 [3 021 511-3 177 863]"
"Global"," 2011","49.53 [48.54-50.81]","51.38 [50.33-52.72]","47.52 [46.51-48.78]","6 875 719 [6 739 889-7 048 473]","3 689 852 [3 614 330-3 782 337]","3 185 867 [3 117 911-3 267 376]"
"Global"," 2010","51.42 [50.47-52.65]","53.25 [52.26-54.55]","49.43 [48.47-50.65]","7 108 596 [6 979 822-7 274 080]","3 809 591 [3 738 185-3 898 788]","3 299 005 [3 234 803-3 377 613]"
"Global"," 2009","53.31 [52.39-54.49]","55.17 [54.22-56.42]","51.27 [50.36-52.47]","7 328 160 [7 203 389-7 488 392]","3 925 779 [3 856 960-4 011 042]","3 402 381 [3 341 279-3 478 524]"
"Global"," 2008","55.72 [54.82-56.88]","57.6 [56.66-58.8]","53.68 [52.77-54.85]","7 594 037 [7 472 866-7 748 860]","4 062 773 [3 995 883-4 144 631]","3 531 264 [3 470 742-3 605 394]"
"Global"," 2007","57.99 [57.1-59.12]","59.88 [58.95-61.05]","55.93 [55.03-57.07]","7 808 836 [7 689 638-7 959 123]","4 173 325 [4 107 600-4 252 642]","3 635 511 [3 576 103-3 707 506]"
"Global"," 2006","60.54 [59.64-61.65]","62.48 [61.54-63.62]","58.42 [57.48-59.54]","8 072 075 [7 950 838-8 217 989]","4 312 520 [4 246 375-4 388 747]","3 759 555 [3 698 099-3 829 574]"
"Global"," 2005","63.12 [62.21-64.24]","65.02 [64.08-66.17]","61.04 [60.11-62.17]","8 357 464 [8 237 270-8 503 990]","4 457 054 [4 391 076-4 532 765]","3 900 410 [3 839 653-3 970 459]"
"Global"," 2004","66.03 [65.1-67.14]","67.97 [67.01-69.13]","63.9 [62.95-65.05]","8 688 772 [8 567 152-8 833 661]","4 631 569 [4 565 123-4 707 530]","4 057 203 [3 995 756-4 127 763]"
"Global"," 2003","68.52 [67.57-69.64]","70.31 [69.33-71.48]","66.56 [65.6-67.74]","8 963 109 [8 840 026-9 107 455]","4 762 040 [4 695 397-4 838 218]","4 201 069 [4 139 500-4 272 622]"
"Global"," 2002","71.21 [70.25-72.36]","73 [72.01-74.2]","69.24 [68.27-70.43]","9 285 303 [9 161 981-9 433 023]","4 929 979 [4 861 598-5 008 105]","4 355 324 [4 293 323-4 427 439]"
"Global"," 2001","73.76 [72.79-74.92]","75.62 [74.61-76.84]","71.73 [70.73-72.92]","9 606 689 [9 481 140-9 755 863]","5 101 288 [5 032 546-5 180 982]","4 505 401 [4 441 658-4 577 736]"
"Global"," 2000","76.34 [75.35-77.52]","78.2 [77.18-79.43]","74.3 [73.29-75.52]","9 903 236 [9 777 014-10 055 211]","5 255 614 [5 186 677-5 335 620]","4 647 622 [4 584 046-4 721 710]"
"Global"," 1999","79.01 [78.02-80.23]","80.99 [79.95-82.25]","76.86 [75.84-78.1]","10 191 169 [10 064 016-10 346 366]","5 409 171 [5 339 406-5 491 266]","4 781 998 [4 718 022-4 857 706]"
"Global"," 1998","81.39 [80.38-82.61]","83.25 [82.2-84.52]","79.36 [78.31-80.64]","10 508 678 [10 378 741-10 664 119]","5 564 323 [5 492 614-5 647 104]","4 944 355 [4 878 311-5 021 710]"
"Global"," 1997","83.54 [82.5-84.78]","85.43 [84.35-86.74]","81.47 [80.4-82.77]","10 811 867 [10 679 149-10 969 511]","5 722 304 [5 649 097-5 807 455]","5 089 563 [5 022 494-5 168 939]"
"Global"," 1996","85.5 [84.45-86.77]","87.48 [86.35-88.81]","83.36 [82.25-84.7]","11 110 272 [10 973 412-11 271 847]","5 881 019 [5 804 655-5 968 031]","5 229 253 [5 159 171-5 311 750]"
"Global"," 1995","87.27 [86.2-88.56]","89.3 [88.15-90.64]","85.09 [83.95-86.44]","11 392 568 [11 253 526-11 558 055]","6 028 325 [5 950 944-6 117 317]","5 364 243 [5 292 503-5 448 452]"
"Global"," 1994","89.24 [88.14-90.52]","91.35 [90.16-92.71]","86.96 [85.82-88.33]","11 710 162 [11 566 577-11 875 258]","6 194 964 [6 113 487-6 285 264]","5 515 198 [5 441 910-5 600 153]"
"Global"," 1993","90.31 [89.18-91.6]","92.55 [91.34-93.93]","87.9 [86.73-89.28]","11 929 157 [11 781 204-12 098 463]","6 313 755 [6 231 102-6 407 394]","5 615 402 [5 539 801-5 702 164]"
"Global"," 1992","91.46 [90.31-92.79]","93.81 [92.55-95.23]","88.95 [87.72-90.35]","12 200 874 [12 046 817-12 377 976]","6 459 418 [6 372 584-6 556 991]","5 741 456 [5 661 887-5 832 608]"
"Global"," 1991","92.08 [90.87-93.47]","94.55 [93.25-96.04]","89.47 [88.19-90.92]","12 546 054 [12 379 135-12 736 270]","6 644 731 [6 551 234-6 750 026]","5 901 323 [5 816 670-5 997 469]"
"Global"," 1990","93.03 [91.71-94.53]","95.44 [94.03-97.08]","90.46 [89.1-92.02]","12 831 685 [12 651 501-13 036 720]","6 793 645 [6 693 176-6 907 944]","6 038 040 [5 947 898-6 141 328]"
"Africa"," 2021","71.77 [65.25-83.77]","76.91 [69.93-89.82]","66.32 [60.15-77.58]","2 762 235 [2 512 708-3 212 228]","1 506 288 [1 369 178-1 750 382]","1 255 947 [1 139 334-1 464 893]"
"Africa"," 2020","73.8 [67.56-84.65]","79.06 [72.35-90.64]","68.3 [62.47-78.48]","2 801 537 [2 565 709-3 207 213]","1 526 340 [1 396 701-1 745 179]","1 275 197 [1 166 186-1 461 381]"
"Africa"," 2019","75.89 [70.08-85.71]","81.17 [74.98-91.78]","70.29 [64.8-79.37]","2 838 891 [2 623 267-3 200 285]","1 544 976 [1 426 939-1 742 474]","1 293 915 [1 192 584-1 457 397]"
"Africa"," 2018","78.05 [72.6-86.81]","83.47 [77.61-92.84]","72.4 [67.21-80.6]","2 873 277 [2 674 703-3 192 051]","1 562 438 [1 453 227-1 734 797]","1 310 839 [1 217 188-1 457 455]"
"Africa"," 2017","80.37 [75.17-88.24]","85.9 [80.34-94.32]","74.58 [69.66-81.97]","2 911 973 [2 724 532-3 194 458]","1 582 666 [1 480 167-1 734 687]","1 329 307 [1 241 598-1 459 017]"
"Africa"," 2016","82.58 [77.71-89.58]","88.22 [83.05-95.68]","76.6 [72.02-83.23]","2 948 078 [2 775 672-3 195 659]","1 602 008 [1 507 282-1 733 872]","1 346 070 [1 264 892-1 460 500]"
"Africa"," 2015","84.96 [80.44-91.19]","90.75 [85.87-97.41]","78.88 [74.62-84.73]","2 988 884 [2 830 902-3 205 836]","1 623 353 [1 536 084-1 739 829]","1 365 531 [1 291 342-1 464 813]"
"Africa"," 2014","87.36 [83.15-92.87]","93.28 [88.75-99.19]","81.15 [77.2-86.33]","3 025 838 [2 881 271-3 214 340]","1 642 951 [1 562 894-1 744 585]","1 382 887 [1 315 400-1 469 299]"
