"","","Infant mortality rate (between birth and 11 months per 1000 live births)","Infant mortality rate (between birth and 11 months per 1000 live births)","Infant mortality rate (between birth and 11 months per 1000 live births)","Number of infant deaths (between birth and 11 months)","Number of infant deaths (between birth and 11 months)","Number of infant deaths (between birth and 11 months)"
"WHO region","Year"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"
"Global"," 2021","28.42 [27.16-30.74]","30.57 [29.19-33.09]","26.12 [24.95-28.26]","3 759 949 [3 594 348-4 057 912]","2 078 669 [1 985 151-2 244 225]","1 681 280 [1 605 461-1 815 331]"
"Global"," 2020","28.9 [27.71-30.93]","31.04 [29.77-33.25]","26.61 [25.5-28.51]","3 864 932 [3 708 525-4 128 967]","2 134 975 [2 047 451-2 282 460]","1 729 957 [1 657 820-1 849 889]"
"Global"," 2019","29.2 [28.14-30.95]","31.3 [30.15-33.23]","26.95 [25.95-28.61]","3 984 711 [3 841 640-4 218 638]","2 198 915 [2 117 673-2 329 809]","1 785 796 [1 719 427-1 892 419]"
"Global"," 2018","29.74 [28.78-31.28]","31.83 [30.78-33.52]","27.51 [26.6-28.98]","4 105 021 [3 974 619-4 312 786]","2 262 810 [2 188 866-2 379 624]","1 842 211 [1 781 621-1 937 962]"
"Global"," 2017","30.02 [29.16-31.37]","32.06 [31.1-33.52]","27.83 [26.99-29.12]","4 231 234 [4 111 910-4 416 034]","2 330 476 [2 261 365-2 433 286]","1 900 758 [1 843 884-1 986 236]"
"Global"," 2016","30.86 [30.06-32.05]","32.91 [32.03-34.22]","28.66 [27.88-29.8]","4 359 404 [4 248 189-4 522 595]","2 398 733 [2 334 578-2 491 075]","1 960 671 [1 906 794-2 036 269]"
"Global"," 2015","31.8 [31.05-32.87]","33.88 [33.06-35.06]","29.56 [28.83-30.6]","4 477 903 [4 373 974-4 625 690]","2 462 551 [2 403 039-2 545 698]","2 015 352 [1 965 456-2 084 358]"
"Global"," 2014","32.53 [31.83-33.49]","34.62 [33.85-35.66]","30.28 [29.59-31.21]","4 618 777 [4 520 767-4 751 879]","2 538 199 [2 482 033-2 611 794]","2 080 578 [2 033 565-2 142 697]"
"Global"," 2013","33.67 [33-34.53]","35.78 [35.04-36.72]","31.39 [30.74-32.24]","4 766 895 [4 673 577-4 885 803]","2 617 301 [2 563 020-2 683 367]","2 149 594 [2 104 535-2 205 699]"
"Global"," 2012","34.56 [33.93-35.34]","36.67 [35.97-37.54]","32.27 [31.65-33.06]","4 901 729 [4 813 717-5 010 552]","2 689 282 [2 637 430-2 750 446]","2 212 447 [2 169 481-2 264 207]"
"Global"," 2011","35.95 [35.34-36.69]","38.11 [37.44-38.94]","33.61 [33-34.36]","5 029 918 [4 945 823-5 131 100]","2 757 053 [2 708 144-2 814 636]","2 272 865 [2 230 728-2 321 700]"
"Global"," 2010","37.15 [36.56-37.87]","39.33 [38.69-40.12]","34.78 [34.2-35.51]","5 178 775 [5 098 582-5 278 054]","2 836 346 [2 789 623-2 891 362]","2 342 429 [2 302 848-2 389 871]"
"Global"," 2009","38.34 [37.77-39.04]","40.61 [39.99-41.38]","35.89 [35.33-36.59]","5 320 441 [5 242 434-5 416 283]","2 915 643 [2 870 678-2 969 288]","2 404 798 [2 366 886-2 450 755]"
