"","","Neonatal mortality rate (0 to 27 days) per 1000 live births) (SDG 3.2.2)","Number of neonatal deaths (0 to 27 days)"
"WHO region","Year"," Both sexes"," Both sexes"
"Global"," 2021","17.55 [16.56-19.46]","2 344 618 [2 211 909-2 599 469]"
"Global"," 2020","17.85 [16.94-19.53]","2 405 641 [2 282 396-2 632 023]"
"Global"," 2019","18.05 [17.23-19.5]","2 483 675 [2 370 964-2 682 752]"
"Global"," 2018","18.41 [17.66-19.67]","2 562 331 [2 458 353-2 738 920]"
"Global"," 2017","18.53 [17.85-19.63]","2 634 757 [2 537 559-2 791 681]"
"Global"," 2016","19 [18.35-19.99]","2 712 002 [2 619 633-2 854 439]"
"Global"," 2015","19.52 [18.9-20.42]","2 774 131 [2 686 631-2 902 144]"
"Global"," 2014","19.9 [19.3-20.72]","2 850 090 [2 764 700-2 967 669]"
"Global"," 2013","20.55 [19.97-21.33]","2 938 365 [2 854 865-3 048 977]"
"Global"," 2012","21.03 [20.46-21.77]","3 022 177 [2 940 555-3 127 596]"
"Global"," 2011","21.79 [21.21-22.52]","3 086 945 [3 004 983-3 190 071]"
"Global"," 2010","22.4 [21.81-23.11]","3 161 999 [3 078 986-3 262 812]"
"Global"," 2009","23.01 [22.41-23.73]","3 238 733 [3 153 623-3 340 083]"
"Global"," 2008","23.69 [23.08-24.41]","3 308 863 [3 224 165-3 409 617]"
"Global"," 2007","24.49 [23.86-25.23]","3 381 699 [3 293 787-3 482 997]"
"Global"," 2006","25.31 [24.65-26.06]","3 452 351 [3 362 416-3 555 484]"
"Global"," 2005","26.19 [25.51-26.96]","3 544 638 [3 452 329-3 648 240]"
"Global"," 2004","27.1 [26.41-27.88]","3 651 543 [3 557 817-3 756 211]"
"Global"," 2003","28.06 [27.34-28.85]","3 754 024 [3 657 829-3 860 728]"
"Global"," 2002","28.99 [28.25-29.82]","3 870 699 [3 770 966-3 980 623]"
"Global"," 2001","29.9 [29.13-30.75]","3 986 706 [3 884 086-4 100 709]"
"Global"," 2000","30.69 [29.89-31.56]","4 094 695 [3 987 960-4 210 807]"
"Global"," 1999","31.59 [30.74-32.5]","4 163 060 [4 052 064-4 283 567]"
"Global"," 1998","32.34 [31.48-33.28]","4 260 048 [4 145 933-4 383 839]"
"Global"," 1997","33.08 [32.2-34.06]","4 366 507 [4 249 991-4 495 291]"
"Global"," 1996","33.77 [32.85-34.77]","4 472 208 [4 351 208-4 604 506]"
